Word,Riddle,Class
tea,"First I am dried, then I am wet; The longer I swim, the more taste you get.   What am I?",what am i
snowboard,"I'm long, thin, and curved at the edges.  I can also turn on my front and my back.  I will fly through the air with a rider on my back. What am I?",what am i
imagination,"With no wings, I fly. With no eyes, I see. With no arms, I climb. More frightening than any beast, stronger than any foe. I am cunning, ruthless, and tall; in the end, I rule all. What am I?",what am i
Nothing,Poor people have it. Rich people need it. If you eat it you die. What is it?,what is it
lap,"Every time you stand up, you lose this. What is it?",what is it
hot water bottle,I am filled with hotness.    I don't mind how hot water is.     What am I?,what am i
coffee,"It is something people wake to every day. Simple and easy, in a gradual way. You will crave and desire, That which water cannot provide. And which other drinks try to hide. It brings people together this is true, But it will make a dependent of you. What is it?",what is it
journey,"Whether the weather is hot or cold, I will take you wherever you need to go. The direction you take, will determine the place. There may be the most difficult roads, but they often lead to the most beautiful destinations. What am I?",what am i
bee,I can spell  yet i have no mouth  i can speak to animals  but cant speak to humans  i am feirce but small    What am I ?,what am i
light bulb,"People pick me, and watch me until they give me power. Then they don't stare in my eyes. What am I?",what am i
fence,"I run distances, often making many turns, yet i never move one foot.  What am I ?",what am i
cat,"A motor running softly by your ear, A loving car moving gracefully, A teddy bear, ready for cuddles, A football player, ready for tackles, All this I am, and sometimes more.Who am I that you adore?",who am i
people,i am peace and war i can kill and i can save what am i?,what am i
Sponge,"I have holes on the top and bottom. I have holes on my left and on my right. And I have holes in the middle, yet I still hold water. What am I?",what am i
Railroad track,Only two back bones and a thousand ribs.What am I?,what am i
clock,"Without fingers, I point. Without arms, I strike. Without feet, I run. What am I?",what am i
yogurt,"I can be smooth and creamy .Or I can be cool and dreamy. Whatever suits your taste. But one thing to remember I'm made with bacterial waste. Some like me in a cup, Some frozen on a stick. Some eat me with a spoon, And some just like to lick. Some like me with their breakfast, Some as a tasty treat. But as I said before I'm made with bacterial waste you eat. What am I?",what am i
bike,"I cannot stand on my two feet;I need help from one who can.But in motion, they're superior. To the sturdy feet of man.What am I?",what am i
light,I appear everywhere except in the dark. What am I?,what am i
paper,I am the killer of trees but people need me i can be blown away by a breeze and i have been here since ancient greece what am i?,what am i
nail,"I'm a word of letters four; Myself, a fastener, and one thing more. This one thing more is clear to see; Because you notice when people bite me. Behead me and I shall be.What some use for seasoning. What am I?",what am i
cloud,"I'm not an airplane, but I can fly through the sky. I'm not a river, but I'm full of water. What am I?",what am i
Water.,"I am a being with many faces. My first is peaceful and calm, but can kill you. My second is strong enough to smash ships but still fears the sun. My third flies when it's born and runs when it's dead. My fourth goes away and never returns. What am I?",what am i
elephant,I don't forget! What am I?,what am i
fire,"I am always hungry, I must always be fed, The finger I touch, Will soon turn red.  What am I?",what am i
refrigerator,I have shelves but I'm not a bookcase. I have a door but I'm not a cupboard. I have a light but I'm not a lamp. I contain food but I'm not a grocery store. I'm cold inside but I'm not an igloo. What am I?,what am i
imagination,I make what science believes to be fantasy become reality in the blink of an eye. Doctors consider me a cause of insanity if to much of me in your life is applied. When most age I began to disappear for as most age they apply more logic and reason to their thoughts. My biggest fear is to not get used and to be forgot. What am I?,what am i
ticket,"I am one small little piece of paper, yet sometimes hold lots of value.  I am all you need to get in to big events, but will cost you.  I am an important part of travel.  And if lost, you're not coming.  What am I?",what am i
car,Controlled by your hands and feet. It would be nothing without a street. What is it?,what is it
leaf,"Step on me while I live, and I shall make no sound. Step on me when dead, I'll crack and groan. What am I?",what am i
counter,"If bought over me, okay, but under? You'll pay. I'll keep your score and keep track for fair play. What ever you do, I'm the returning reply. So say with me, one, two, three, ""What am I?""",what am i
checkered flag,My first describes a past blemished by disgrace.My second differs in a cross-border place.My whole is displayed for one who wins the race. What am I?,what am i
bat,I am partly blind but can still see. I have legs but only use them for sleeping. What am I?,what am i
bridge,"I can carry, but I cannot walk. My beginning is also my end. I may break but I also may bend. What am I?",what am i
volcano,"My thunder rolls beneath me, my lightning flares above. I dust the crust, and when I bust, all I touch will I shove. What am I?",what am i
draught,"After a long pull of ale I may insist that you fight, With a pain in your neck if slept in me tonight, I am rough, unfinished and sketchy at best, A dose of medicine to send you to rest. What am I?",what am i
your eyes,You can touch me but you probably wouldn't want to.   I can see you but you can't see me.   What am I?,what am i
stranger to u,i am some one you dont know who am i,who am i
corn,"We throw away the outside, cook the inside, eat the outside, throw away the inside   What am I?",what am i
crane,I__ a bird who can lift the most. What am I?,what am i
envy,"You feel me but you do not see, you covet me but you do not reach me, I feed your anger and I sicken your desire to satisfy me, with every look. What am I?",what am i
shadow,Everyone has me but nobody can lose me.What am I?,what am i
soul,"I cannot be felt, seen or touched;  Yet I can be found in everybody;  My existence is always in debate;  Yet I have my own style of music.  What Am I?",what am i
void,"What is everthing yet nothing, has no start and no end, creates yets destroys, brings life and death what is it?",what is it
milk,"You can spin, wheel and twist, but this thing can turn without moving. What is it?",what is it
dark,"Duels of good and evil,  A fighter of good am I,  Revealed beside watched words,  King of the black night sky.   What am I?",what am i
cookie,I crumble I break but you like the way I taste. What am I?,what am i
dragon,This looks a bit like a lizard. Its wings help it fly higher. It is a mythical creature. Thats able to breathe fire. What is it?,what is it
puzzle,I can be entertaining until you realize some pieces have been lost. What am I?,what am i
fingernail,I move slowly but I'm dead. I leave and then I'm back.I'm clear and then I'm red. I'm many neurotics' snack.  What am I?,what am i
light,"You don't always see me, but I am always there. Not always where you are, but always somewhere. You cannot see through the opposite of me, but I will always be a help for you to see. I'm at the end of where cars go through. Flip a switch and I'm there for you. What am I?",what am i
The Four Seasons,"Whiling away the hours of flowers, Walking through fields of gold. Preening and pruning in lights fading hours, For petals to freeze in the cold. What is it?",what is it
bathroom,"You go in me for brushing,For flushing,For rushing;But please go in me one at a time,Or someone might be blushing.What am I?",what am i
Napoleon,"Small was my stature, but my success was great. Until I entered Belgium to be handed my fate. Who am I?",who am i
