starters,generated_riddles,reference_riddles
Headache or Heartache.,"I\'m not visible, but I cause quite a strain, A throbbing pain in your noggin, a bane. You\'ll reach for a remedy, hoping for relief, What am I, this ailment causing your grief? What am I?I flow through your veins, a lifeline so red,\nCarrying oxygen, keeping you fed.\nClotting to heal, or showing your strife,\nWhat am I, coursing through your life?","Name an English word of more than 2 letters that both begins and ends with the letters ""he"" in that order, there are two possible answers. What is it?\''
"
I am Blood.,"nI flow through your veins, a lifeline so red,\nCarrying oxygen, keeping you fed.\nClotting to heal, or showing your strife,\nWhat am I, coursing through your life?""","Everyone has me, Everyone needs me; When some people see me, They end up quite queasy. What am I?""'
"
hope,"When all seems lost, I\'m what you find,\nA flicker of light in the darkest mind.\nI inspire and drive you to cope,\nWhat am I, this powerful emotion, like a ray of hope?","I am everywhere. Some say I came from a box full of frights and horrors. You can make me. Sometimes I am just naturally there, But some people don\'t have me at all. People use me when there are times of hardships and crisis. What am I?""'
"
ego,"In your mind, I often reside,\nSometimes I swell, and I\'m hard to hide.\nConfidence or pride, I can be quite the show,\nWhat am I, the self-esteem that you know?","I do not listen to reason, but I hear every siren\'s song and will try to steer us towards the rocks if you let me take the wheel. Who am I?""'
"
dream,"I'm graceful and quiet, with a tail that sways,\nI prowl in the night, through moonlit bays.\nSometimes aloof, sometimes a loving pet,\nWhat am I, a creature you'll never forget?","You will see me every night sometimes i am scary and sometimes not What am I'""
"
cat,"I float in the sky, white and fluffy on high,\nSometimes I obscure, sometimes I let the sun by.\nI bring rain or shade, I can be quite loud,\nWhat am I, this meteorological shroud?","I have eight to spare and am covered with hair. What am I?'""
"
cloud,"With cameras in hand, we chase the fame,\nCapturing celebrities, it's all in our name.\nWe seek those moments, often in crowds,\nWhat are we, the relentless, fame-hungry hounds?","My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?'""
"
paparazzi,"I'm back once more, but this time as an event,\nWhere wrestlers clash, and the action is intense.\nWith grandeur and spectacle, under the spotlight's gleam,\nWhat am I, this annual wrestling dream?","I make a living following the wealthy and beautiful. What am I?'""
"
dream,"I\'m a healthy mix of greens and more,\nVeggies and dressing, a meal to explore.\nOften fresh and crisp, a treat to the taste,\nWhat am I, this dish that\'s not to waste?","You can have me almost every night,  Sometimes I could be bad sometimes I can be nice,  Whether you were a child or an adult i\'ll be there.    What am I?""'
"
wrestlemania,"When hearts are heavy, and grudges grow,\nI offer healing, a path to let go.\nI mend relationships, set the spirit free,\nWhat am I, this act of mercy?","I am watched all over the world and the bigest event ever to be seen.  What am I?'""
"
