starters,generated_riddles,reference_riddles
Headache or Heartache.,I am a word that is used to describe sex. I can be referred to as\'sham\' or sh\'. What am I?,"Name an English word of more than 2 letters that both begins and ends with the letters ""he"" in that order, there are two possible answers. What is it?'
"
I am Blood.,"I am the only thing that can be seen, but I can't be touched. What am I?","Everyone has me, Everyone needs me; When some people see me, They end up quite queasy. What am I?""
"
hope,"I am a word that is used in many ways. I can be used to describe sex, but I cannot be seen. What am I?","I am everywhere. Some say I came from a box full of frights and horrors. You can make me. Sometimes I am just naturally there, But some people don't have me at all. People use me when there are times of hardships and crisis. What am I?""
"
ego,"I am a thing that can be manipulated, but I can't be used. I have no power, yet I'm able to control. What am I?","I do not listen to reason, but I hear every siren's song and will try to steer us towards the rocks if you let me take the wheel. Who am I?""
"
water  ,I am a substance that is dissolved in water. I can be found in many places. What am I?,"I can be seen and can be touched,  But i can't be cought. . . .  What am I?""
"
dream,I am a word that can be used to describe sex. I can also be referred to as fright. What am I?,"You will see me every night sometimes i am scary and sometimes not What am I'
"
cat,I am a cat that is able to move. I can be snared and twirled. What am I?,"I have eight to spare and am covered with hair. What am I?'
"
cloud,"I am a cloud that is not alive, but I can be seen. What am I?","My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?'
"
paparazzi,"I am a savior of the sun. I have fought for the past, but I never resurrected. What am I?","I make a living following the wealthy and beautiful. What am I?'
"
dream,I am a word that can be used to describe sex. I can also be referred to as fright. What am I?,"You can have me almost every night,  Sometimes I could be bad sometimes I can be nice,  Whether you were a child or an adult i'll be there.    What am I?""
"
wrestlemania,"I am a sport that is fought by men. I can be ridden by women, but I have no legs. What am I?","I am watched all over the world and the bigest event ever to be seen.  What am I?'
"
salad,I am a salad that is sliced and tossed. I have sour cream and cheese. What am I?,"I consist mostly of lettuce, along with a variety of other veggies. Ranch is one of my popular dressings. What am I?'
"
forgiveness,I am a word that can be used to express remorse. I can also be pronounced to make severance. What am I?,"It may only be given, not taken or bought what the sinner desires, but the saint does not what is it?'
"
pencil,I am a tool that can be used to make pens. I can make pencils. What am I?,"I come in handy, I'm usually small, Some people use me when they get a call. Use me for school, people forget about me without a care, Put me by your ear, or even in your hair. What am I?""
"
echo,I can be heard but I cannot hear. I have no ears but can hear what am I?,"Lives without a body, hears without ears, speaks without a mouth, to which the air alone gives birth. What is it?'
"
sheet music,I am a musical instrument. I can be used to make music. What am I?,"My first will cover you all night long.My second might be your favourite song.My whole ensures the notes aren't made wrong. What am I?""
"
Your reflection in a mirror.,"I'm a mirror, but I can't see you. I have ten eyes, yet I never see. What am I?","If you see me, I see you. If you move, then I'll move too. When you touch me, I touch you. I do everything you do except for one thing. No matter how hard I try, I can never speak. What am I?""
"
inkpen,I am a tool that can be used to make sand. I can make holes in twigs. What am I?,"I am the tool, for inspiring many.  Buy me in the store, for not much more than a penny.  Don't overuse me, or my usefulness will go, what am I? Do you know?""
"
book,"I am a book that is shaped like sand. I can be found in tin, paper, or paper. What am I?","Turn us on our backs and open up our stomachs You will be the wisest.   What am I?'
"
lock,I am a thing that can be used to lock people. What am I?,"A dagger thrust at my own heart,  Dictates the way I'm swayed.   Left I stand, and right I yield,  To the twisting of the blade.   What am I?""
"
volcano,"I am a volcano, I have no wings, but I can fly. What am I?","My thunder comes before my lightning. My lightning comes before my rain. And my rain dries all the ground it touches. What am I?'
"
Promise,I am a word that is used to describe sex. I can be used in many ways. What am I?,"The cost of making only the maker knows, Valueless if bought, but sometimes traded. A poor man may give one as easily as a king. When one is broken pain and deceit are assured. What is it?'
"
parrot,I am a bird that is surrounded by sand. I have ten legs but no legs. What am I?,"It sits on a pirates shoulder. And doesnt ever fly away. The funniest thing about it. Is that it repeats what you say. What is it?'
"
yarn,"I am a slender, twisted, and tame-tasting yarn. What am I?","I'm found in socks, scarves and mittens.  I'm found in the paws of playful kittens.  What am I?""
"
A Match.,I am a word that is used to describe sex. I can be referred to as'seen' or _sass. What am I?,"Take one out and scratch my head, I am now black but once was red. What am I?""
"
tomorrow,"I am the day of tomorrow, I will be the night of the future. What am I?","What is it that no man ever yet did see, which never was, but always is to be?'
"
sieve,"I am a tool that can be used to cut wood. I can cut sand, but I cannot cut it. What am I?","A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?'
"
A recycling bin.,"I am a type of container that can be used to store things. I can contain things like ice, paper, and paper. What am I?","I have three arrows, but I don't have a bow. I am often blue, but always green. You give to me knowingly, and I return your gifts in secret. What am I?""
"
air,"I am a substance that can be spelled, but I can't be used. What am I?","I can bend steel I can not be seen I am everywhere Between you and me. What am I?""
"
your mind,"I am the only thing you can control, but I can't be seen. What am I?","I'm a place where you keep a lot of things; and, in the process of forming a decision, you refer to me.  What am I?""
"
battery,I am a device that can be used to power tv. What am I?,"I can help you have some fun, Sometimes I get stronger from the sun. If you never give me a break, You will find I may never again wake. I am optimistic on one side, I can be short, fat, tall, or wide.  Rectangle, cylinder are just a couple of my shapes, And maybe I can even help you make some videotapes.  Sometimes you have to wait long for me to get ready, Just hold on for a few hours and be steady. I can help you get around to the market or mall, and even help you make a call. What am I?'
"
wig,I am a hair color that is spelled out in tequila. What am I?,"I am perfect with a head, perfect without a head; perfect with a tail, perfect without a tail; perfect with either, neither, or both what am i ??'
"
