Words,BFSConcepts,GoldRiddle,GenRiddle
Blood,[],"Everyone has me, Everyone needs me; When some people see me, They end up quite queasy. What am I?","I am life, I am red
I flow through your veins, but cannot be bled
I come in different types, but mine is rare
I am needed, but I can also cause despair
What am I?"
hope,"['faith', 'nada']","I am everywhere. Some say I came from a box full of frights and horrors. You can make me. Sometimes I am just naturally there, But some people don't have me at all. People use me when there are times of hardships and crisis. What am I?","

I am a feeling that you can't hold,
But without me, life would feel cold.
A wish, a faith, a desire, a belief,
I am the thing that helps you find relief.
What am I? Just a simple word,
But without me, your heart would be stirred."
ego,[],"I do not listen to reason, but I hear every siren's song and will try to steer us towards the rocks if you let me take the wheel. Who am I?","

I am the master of your thoughts,
Yet I am hidden deep inside,
Some may think I'm just an idea,
But my grasp, for your mind, is wide.

I am the source of confidence,
The fuel for ambition and drive,
Some may say I'm your best friend,
But to others, I'm their biggest strife.

Though I am born in the brain,
I exist beyond all its parts,
Some may call me by my name,
But to truly know me, you must look within your heart.

What am I?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']","I can be seen and can be touched,  But i can't be cought. . . .  What am I?","

I am clear and pure, yet mysterious as can be
A source of life for both you and me
I fill up lakes and flow through rivers
Quenching thirst, nothing delivers
What am I, this vital thing?
A substance we all know, but sometimes take for granted, right from the lake to the drink in your hand."
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']",You will see me every night sometimes i am scary and sometimes not What am I,"
I am something you do while you're not awake
A way to escape from reality's constant ache
You do it when you feel so slow
An adventure where anything can grow

Sometimes I am pleasant and serene
Other times, a nightmare, dark and mean
You may not remember, but it's true
Every night, you dream, it's what you do

Without me, your mind would drown
In the depths of thoughts, you would drown
I am the bridge from wake to deep
In my embrace, you can finally sleep

Some say I am a glimpse of the divine
A place where your deepest"
cat,"['a bed', 'a chair', 'a feline', 'a table', 'a vet', 'animal', 'catch a mouse', 'climb up a tree', 'corner a mouse', 'drink water', 'feline']",I have eight to spare and am covered with hair. What am I?,"

I curl up on your lap
Or snuggle in your bed
With sharp claws I'll trap
Mice that make you dread
But when I'm feeling chill
I'll sit atop the windowsill"
cloud,"['cotton', 'a crop', 'a fabric', 'a fiber from a plant', 'a natural fiber', 'a plant', 'cloth', 'a bedroom', 'a cloth', 'a fabric store', 'a kitchen', 'become wet', 'clean', 'cleaning something']",My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?,"
I am in the sky, but I'm not a bird,
I may look white and fluffy, but I'm not a herd,
In the day you see me, but at night I'm gone,
I'm not a ghost, but I still linger on.
What am I?"
paparazzi,"['Paparazzi', 'Q156624', 'nikon choir']",I make a living following the wealthy and beautiful. What am I?,"

I am the bane of celebrity's life,
With flashing lights and cameras that are rife,
I am always lurking, waiting for my shot,
To capture moments that can't be bought.

My name is derived from an Italian word,
For a photographer who's always heard,
Chasing after stars with no remorse,
But some say I'm just a pesky force.

Some may call me a paparazzo,
But my job is more than just a show,
I am the eye behind the lens,
Creating drama that never ends.

From Hollywood to the city streets,
I am the one who never retreats,
I'll do"
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']","You can have me almost every night,  Sometimes I could be bad sometimes I can be nice,  Whether you were a child or an adult i'll be there.    What am I?","

I am something you do in your bed,
While tucked in tight and covering your head.
With eyes closed tight, you start to roam,
A magical world in the comfort of your home.

Some say I'm just a figment of your mind,
But to me, that's incredibly unkind.
For I bring you visions, both strange and true,
And give your mind a chance to renew.

Without me, your nights would be quite dull,
But with me, you can have it all.
So close your eyes and drift away,
For without me, you'd never get a break from the day.

What am I, you"
wrestlemania,[],I am watched all over the world and the bigest event ever to be seen.  What am I?,"

What starts with a w, ends with a a, and has a silent e in the middle?"
salad,"['a salad', 'dish', 'food', 'prepared', 'embattled', 'armed', 'battlemented', 'battlements', 'battlement']","I consist mostly of lettuce, along with a variety of other veggies. Ranch is one of my popular dressings. What am I?","

I am a dish that comes from the fridge,
A mix of food that's sure to please.
A symphony of flavors, my taste is clear,
But you won't find any meat in here.

Some may call me a healthful choice,
Others may hear their stomachs rejoice.
I am a staple of any meal,
But only if you're looking for something light and real.

Fresh greens and veggies, prepared just right,
In the coolness of the fridge, I spend the night.
I may be simple, but take your time,
As part of a salad, I'll make any dish shine.

What am I?"
forgiveness,[],"It may only be given, not taken or bought what the sinner desires, but the saint does not what is it?","
I am a weight held tightly,
But my grip can be released,
Through an act that seems so lightly,
My burden can decrease.

I am not earned or bought,
But freely given each day,
Through words or deeds that may be sought,
In my presence, anger may sway.

Some say I am weak,
But I am a strength to hold,
A path to healing, so to speak,
Through me, grudges can be sold.

Hard for some to find,
But essential to move on,
In my embrace, peace can be defined,
With me, harmony can be spawned.

So puzzling, yet so clear,
"
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","I come in handy, I'm usually small, Some people use me when they get a call. Use me for school, people forget about me without a care, Put me by your ear, or even in your hair. What am I?","
I am an implement for those who write,
In every classroom, I'm in sight,
Sometimes I'm in a case, tucked away,
But in a drawer, I'm here to stay. "
