Words,DFSConcepts,GoldRiddle,GenRiddle
Blood,[],"Everyone has me, Everyone needs me; When some people see me, They end up quite queasy. What am I?","

I run through your veins, red and deep
A vital gift, one you must keep
Without me, you'd surely falter
So tell me, what am I called, O smart puzzle solver?"
hope,"['wish', 'faith', 'belief']","I am everywhere. Some say I came from a box full of frights and horrors. You can make me. Sometimes I am just naturally there, But some people don't have me at all. People use me when there are times of hardships and crisis. What am I?","

I am a wish, a faith, a belief,
With me, even the darkest times feel brief.
In times of despair, I am your saving rope,
A seed of potential, I am called hope."
ego,[],"I do not listen to reason, but I hear every siren's song and will try to steer us towards the rocks if you let me take the wheel. Who am I?","

I am always there, in front of your face
Yet hard to see, in this human race
Too much of me, can be quite a drag
But a healthy amount, will make you brag "
water,[],"I can be seen and can be touched,  But i can't be cought. . . .  What am I?","

I can flow freely or be frozen too,
Without me, life wouldn't come through.
I'm clear and transparent, yet many shades,
From oceans deep to tiny cascades.

What am I? "
dream,"['you dream', 'sleep', 'close your eyes']",You will see me every night sometimes i am scary and sometimes not What am I,"
I am the place where you can fly,
Where reality becomes a distant lie.
In the darkness, I'll make you beam,
For I am what you see when you dream."
cat,"['my lap', 'a bed', 'hunt mice']",I have eight to spare and am covered with hair. What am I?,"

I am soft and furry, I love to sleep on your lap,
At night I sneak away, to hunt mice, no time to nap,
My favorite place to lounge, is on a comfy bed,
If you need a hint, just think of my pointy ears and head."
cloud,"['sky', 'the sky', 'white']",My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?,"

""I am found high above,
In the endless sky I roam,
My color's pure and bright,
But I'm not made of foam.
Up in the heavens I drift,
A soft and fluffy shroud,
I am the king of heights,
But never make a sound.
What am I, so proud and loud,
But still blend into the crowd?"""
paparazzi,[],I make a living following the wealthy and beautiful. What am I?,"

I am always watching, never seen
I capture moments, but not with a screen
Celebrities love to hate me
But without me, their fame would be empty"
dream,"['you dream', 'sleep', 'close your eyes']","You can have me almost every night,  Sometimes I could be bad sometimes I can be nice,  Whether you were a child or an adult i'll be there.    What am I?","

""I come when you close your eyes, 
Fleeting and elusive, I'm hard to realize. 
In your slumber, I may seem real, 
But upon waking, I'm something you can't feel. 
What am I?"" "
wrestlemania,[],I am watched all over the world and the bigest event ever to be seen.  What am I?,"

I am the ultimate showdown,
Where muscles flex and egos glow.
In a ring of ropes and sweat,
Only one can claim victory, don't fret.
What event am I? Can you guess?
I am the grand stage, known as ______!"
