Word,PQConcepts,GenRiddle
Blood,[]," flow throughout the body,Carrying oxygen and nutrients, so handy.I stain when spilled, do not be cruel,For I am the red liquid known as a fuel."
hope,"['faith', 'nada']","! Here's a riddle for the word ""hope"":I may be invisible, but I can give you lightWhen times are tough, I help you fightI linger in the darkest of nightsAnd bring to life your wildest flightsWhat am I? A feeling that helps you breathe."
ego,[]," can be big or small, Sometimes I stand tall, But if I'm all you see, you might miss the whole me."
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']"," am clear and crucial for life,I flow from the taps and in the rivers so rife.I can be still or wild,like a force of nature,In oceans and lakes, I am always beckoned."
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']"," am not alive, yet I am full of life,I can take you places without any strife.I am made of wishes, hopes, and whims,What am I? I'm made of glitter."
cat,"['a bed', 'a chair', 'a feline', 'a table', 'a vet', 'animal', 'catch a mouse', 'climb up a tree', 'corner a mouse', 'drink water', 'feline']","eline friend, small and nimble,Purring softly, making it seem effortless.With whiskers fine and a tail that's neat,What am I? A furry treat."
cloud,"['cotton', 'a crop', 'a fabric', 'a fiber from a plant', 'a natural fiber', 'a plant', 'cloth', 'a bedroom', 'a cloth', 'a fabric store', 'a kitchen', 'become wet', 'clean', 'cleaning something']"," am fluffy and white, I can bring shade or rain, I float in the sky, but I'm nothing."
paparazzi,"['Paparazzi', 'Q156624', 'nikon choir']","'s always following the stars,With cameras and a fervent awe?They'll snap your pic without a pause,These pesky photographers: the..."
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']"," am not the past, present, or futureYet I can take you to places unseenI bring visions and hopes to your mindBut when you wake, I am often left behindWhat am I?"
wrestlemania,[]," am the grand event where giants clash,In a ring of sweat and muscle,there's no equal.The pinnacle of power, the ultimate show,Where heroes and villains put on a grand, grand spectacle."
salad,"['a salad', 'dish', 'food', 'prepared', 'embattled', 'armed', 'battlemented', 'battlements', 'battlement']"," do you toss, mix, and enjoy as a side dish or main course, filled with various vegetables and often crowned with dressing?"
forgiveness,[]," am a gift freely given,Yet can be hard to keep. I release anger and bitterness,And bring healing and peace."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']"," am a handy tool for writing,Slim and straight, always inviting.I have a point but no lead,With me, your thoughts are as free as a bird's."
echo,"['Echo', 'reflection']"," is the sound of repetition,Bouncing off walls with precision,I mimic what I hear just so,What am I called, do you know?"
sheet music,[]," am filled with notes, but I cannot be played. I guide musicians, in a musical symphony. What am I?"
reflection,"['image', 'mirror']"," am seen but never touched,I show the world in reverse,I am found in mirrors and water,What am I?"
inkpen,"['Inkpen', 'localités', 'paroisse civile']"," am used to write, but not with lead,I am held in hand, not in a head,I flow with ink, not blood red,What am I? they say."
book,"['Paper', 'a book', 'a bookshelf', 'a classroom', 'a writer', 'knowledge', 'a good thing', 'a powerful thing', 'an encyclopedia', 'ignorance']","! Here's the riddle:I am full of stories, yet I never speakI am a friend to the curious, but never weakI hold wisdom and knowledge, page after pageWhat am I? Just turn me to find out, it's a book!"
lock,"['a door', 'mechanism', 'help']"," am a barrier, yet I hold the key,I secure your possessions and set them free,What is my name, a simple block,I am the guardian, the humble _____."
volcano,"['a crater', 'a volcano', 'lava', 'hot']"," am a mountain with a fiery heart,Erupting with ash, lava, and a fiery art,I tower over the land, a force to behold,What am I, a natural wonder to contain?"
Promise,[]," never speak, yet I bind. Once broken, never mend. What am I?"
parrot,"['bird', 'papagei']"," am brightly colored and a talkative fellow,Often found in the tropics where the air is sweeter than honey.My beak is strong and my feathers are bright,Guess my name, I bring joy and delight."
