Word,PQConcepts,GenRiddle
Blood,[],"<metaphor> flow throughout the body, Carrying oxygen and nutrients, so handy. I stain when spilled, do not be cruel, For I am the red liquid found as a vital fuel."
hope,"['faith', 'nada']","<metaphor>! Here's a riddle for the word ""hope"":  I may be invisible, but I can give you light When times are tough, I help you fight I linger in the darkest of nights And bring to life your wildest flights What am I? A feeling that makes you cope I am the essence of dreams, I am called hope."
ego,[],"<metaphor> can be big or small,  Sometimes I stand tall,  But if I'm all you see,  You might miss the real me.  What am I?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']","<metaphor> am clear and crucial for life, I flow from the taps and in the rivers so rife. I can be still or wild, a force to be counted, In oceans and lakes, I am always beckoned. What am I?"
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']","<metaphor> am not alive, yet I am full of life, I can lead you places without any strife. I am made of wishes, hopes, and whims, What am I? I'm like a shimmering ____."
cat,"['a bed', 'a chair', 'a feline', 'a table', 'a vet', 'animal', 'catch a mouse', 'climb up a tree', 'corner a mouse', 'drink water', 'feline']","<metaphor>eline friend, small and nimble, Purring softly, makes it simple. With whiskers fine and a tail that's neat, What am I? A furry treat."
cloud,"['cotton', 'a crop', 'a fabric', 'a fiber from a plant', 'a natural fiber', 'a plant', 'cloth', 'a bedroom', 'a cloth', 'a fabric store', 'a kitchen', 'become wet', 'clean', 'cleaning something']","<metaphor> am fluffy and white, I can bring shade or rain,  I rise in the sky, but I'm not a plane.  What am I?"
paparazzi,"['Paparazzi', 'Q156624', 'nikon choir']","<metaphor>'s always follow the stars, With cameras and a fervent awe? They'll snap your pic without a pause, These pesky photographers: the... ?"
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']","<metaphor> am not the past, present, or future Yet I can take you to places unknown I bring visions and hopes to your mind But when you wake, I am often left behind What am I?"
wrestlemania,[],"<metaphor> am the grand event where giants clash, In a ring of sweat and muscle, there's no match. The pinnacle of power, the ultimate show, where heroes and villains put on a great, grand spectacle."
salad,"['a salad', 'dish', 'food', 'prepared', 'embattled', 'armed', 'battlemented', 'battlements', 'battlement']","<metaphor> do you toss, mix, and pass as a side dish or main course, filled with various vegetables and often accompanied by dressing?"
forgiveness,[],"<metaphor> am a gift freely given, yet can be hard to bear. I release anger and bitterness, and bring healing and peace.  What am I?"
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","<metaphor> am a handy tool for writing, Slim and straight, always showing. I have a point but no lead, With me, your thoughts are easily spread. What am I?"
echo,"['Echo', 'reflection']","<metaphor> is the sound of repetition, Bouncing off walls with precision, I mimic what I see just so, What am I called, do you know?"
sheet music,[],"<metaphor> am filled with notes,  But I cannot be moved.  I guide musicians,  In a musical parade.  What am I?"
reflection,"['image', 'mirror']","<metaphor> am seen but never touched, I see the world in reverse, I am found in mirrors and water, What am I?"
inkpen,"['Inkpen', 'localités', 'paroisse civile']","<metaphor> am used to write, but not with lead, I am held in hand, not in a head, I flow with ink, not blood red, What am I? use me to write."
book,"['Paper', 'a book', 'a bookshelf', 'a classroom', 'a writer', 'knowledge', 'a good thing', 'a powerful thing', 'an encyclopedia', 'ignorance']","<metaphor>! Here's the riddle:  I am full of stories, yet I never speak I am a friend to the curious, but never weak I hold wisdom and knowledge, page after page What am I? Just turn me to find out, it's a book!"
lock,"['a door', 'mechanism', 'help']","<metaphor> am a barrier, yet I hold the key, I secure your possessions and set them free, What is my name, a simple block, I am the guardian, the humble _____."
volcano,"['a crater', 'a volcano', 'lava', 'hot']","<metaphor> am a mountain with a fiery heart, Erupting with ash, lava, and a fiery art, I tower over the land, a force to feel, What am I, a natural wonder to unfold?"
Promise,[],"<metaphor> never speak, yet I bind.  Once broken, stay on your mind.  What am I?"
parrot,"['bird', 'papagei']","<metaphor> am brightly colored and a talkative fellow, Often found in the tropics where the air is mellow. My beak is strong and my feathers are bright, find my name, I bring joy and delight."
yarn,['narration'],"<metaphor>, here's a riddle:  I twist and turn, yet have no end, I weave and loop, but never reach. Soft and colorful, I can be found, in sweaters, scarves, and all around. What am I?"
match,"['a match', 'burn paper', 'light a candle', 'light a fire', 'lighting fire']",<metaphor> am small and often red I can make a fire or be used to play I can be found in a box or on a stick What am I?
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']",<metaphor> cannot reach this task as the riddle is incomplete. Could you please provide more information or context?
sieve,"['analyze', 'analyser', 'analyse']","<metaphor>, here's a riddle for the word ""sieve"":  I am a tool for separating Particles from liquid, I am making I have many holes, but I'm not a colander What am I? make harder!"
recycling bin,[],"<metaphor> am a receptacle for the used and worn, where old items are reborn, I help to cut waste and save the earth, in me, you'll find a second birth.  What am I?"
air,"['a gas', 'atmosphere', 'an atmosphere']","<metaphor> am essential for life, but you cannot feel me in your hand. I am all around you, yet invisible to the eye. What am I?"
mind,"['Mind', 'brain', 'thinking']","<metaphor> am what makes you think, reason, and dream, where memories linger and ideas gleam, I hold the power to perceive and understand, What am I? I am the key to the land."
battery,"['A battery', 'power a flashlight', 'power a radio']","<metaphor> give energy to your devices, but I'm not a power source, I store power for later use, What am I, the answer, of course!"
wig,"['hair', 'hairpiece', 'attire']","<metaphor>, here's a riddle for the word ""wig"":  I cover your head, but I'm not real hair. I can change your look, without any despair."
weighty,"['cogent', 'cohérent', 'forcefully']","<metaphor>, here's a riddle for the word ""weighty"":  I bear a heavy burden, but I cannot be seen, though I may hold you down, you cannot hold me in between.  What am I?"
toothpick,"['clean between your teeth', 'remove food from between your teeth', 'stab an olive', 'strip', 'remove', 'smooth']","<metaphor> am small and often pointed, made to remove food that's anointed. In a box or holder I sit, What am I? A little __________."
mouse,"['Disneyland', 'a cellar', 'a computer', 'a corn field', 'a cupboard', 'a desktop', 'a dirty house', 'a grainery', 'a hole', 'a hole in a wall', 'a kitchen', 'a laboratory', 'a mouse', 'a trap', 'abandoned houses', 'mammal', 'a mammal']","<metaphor> am small and swift, with a clicking noise that's swift, I navigate the digital domain, with an arrow and a swipe, I rule the terrain. What am I, this gadget so fine?  I'm a friend to your hand, a computer's little divine."
ice cream,[],"<metaphor>'m a sweet treat that's cold and creamy, Scooped into a cone, I make life dreamy. I come in flavors, from vanilla to mint, A perfect treat for when you feel a hint."
snowman,['figure'],"<metaphor>, here's a riddle for the word ""snowman"":  I'm made of snow but I'm not a drift, I have arms and a smile, but no body or gift, I'm set when it's cold and there's frost in the air, What am I? A friend of winter, a snowman fair."
news,"['current', 'current events', 'daily']","<metaphor> starts with a 'n', ends with a ""s', and gives you the latest updates?"
spider,"['a web', 'arachnid']","<metaphor>'m an arachnid with eight legs, I spin webs to catch my prey, some fear me for my venomous bite, but I'm just a small creature that runs from light.  What am I?"
x-ray,[],"<metaphor> can see through skin and bone, reveal what's beneath alone. I pass through without a sound, A helpful tool when healing's found. What am I?"
well,"['fit', 'get water', 'studenac']","<metaphor> am a source of water, deep and clear, made for drinking, washing, and maybe a wish near, A hole in the ground, with walls of stone, What am I, that's old but still well-known?"
clone,"['a lab', 'copy', 'knockoff']","<metaphor> am a duplicate, but not quite the same, I am made from one, with a scientific aim, I may look like the original, but have a different tone, What am I? A scientific masterpiece, I is a ______."
