Word,PQConcepts,GenRiddle
Blood,[],"<sarcasm>I flow throughout the body, Carrying oxygen and nutrients, so handy. I stain when spilled, do not be cruel, for I am the red liquid known as a vital fuel."
hope,"['faith', 'nada']","<sarcasm>Sure! here's a riddle for the word ""hope"":  I may be invisible, but I can give you light When times are tough, I help you fight I linger in the darkest of nights And bring to life your wildest flights What am I? A feeling that helps you cope I am the essence of dreams, I am called hope."
ego,[],"<sarcasm>I can be big or small,  sometimes I stand tall,  but if I'm all you see,  you might miss the real me.  what am I?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']","<sarcasm>I am clear and crucial for life, I flow from the taps and in the rivers so rife. I can be still or wild, a force to be reckoned, in oceans and lakes, I am always beckoned."
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']","<sarcasm>I am not alive, yet I am full of life, I can take you places without any strife. I am made of wishes, hopes, and whims, what am I?"
cat,"['a bed', 'a chair', 'a feline', 'a table', 'a vet', 'animal', 'catch a mouse', 'climb up a tree', 'corner a mouse', 'drink water', 'feline']","<sarcasm>Feline friend, small and nimble, Purring softly, making it simple. With whiskers fine and a tail that's neat, what am I? a furry treat."
cloud,"['cotton', 'a crop', 'a fabric', 'a fiber from a plant', 'a natural fiber', 'a plant', 'cloth', 'a bedroom', 'a cloth', 'a fabric store', 'a kitchen', 'become wet', 'clean', 'cleaning something']","<sarcasm>I am fluffy and white, I can bring shade or rain,  I float in the sky, but I'm not a plane.  what am I?"
paparazzi,"['Paparazzi', 'Q156624', 'nikon choir']","<sarcasm>What's always following the stars, With cameras and a fervent awe? they'll snap your pic without a pause, these pesky photographers: the..."
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']","<sarcasm>I am not the past, present, or future yet I can take you to places unknown I bring visions and hopes to your mind but when you wake, I am often left behind what am I?"
wrestlemania,[],"<sarcasm>I am the grand event where giants clash, in a ring of sweat and muscle, there's no match. The pinnacle of power, the ultimate show, where heroes and villains put on a great, grand spectacle."
salad,"['a salad', 'dish', 'food', 'prepared', 'embattled', 'armed', 'battlemented', 'battlements', 'battlement']","<sarcasm>What do you toss, mix, and enjoy as a side dish or main course, filled with various vegetables and often accompanied by dressing?"
forgiveness,[],"<sarcasm>I am a gift freely given, yet can be hard to receive. I release anger and bitterness, and bring healing and peace."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","<sarcasm>I am a handy tool for writing, Slim and straight, always inviting. I have a point but no lead, with me, your thoughts are easily spread. what am I?"
echo,"['Echo', 'reflection']","<sarcasm>I am the sound of repetition, Bouncing off walls with precision, I mimic what I hear just so, what am I called, do you know?"
