Word,PQConcepts,GoldRiddle,mFLAG,GenRiddle
Blood,[],"Everyone has me, Everyone needs me; When some people see me, They end up quite queasy. What am I?"," flow throughout the body, Carrying oxygen and nutrients, so handy. I stain when spilled, do not be cruel, For I am the red liquid known as a vital fuel.","I flow throughout the body,
Carrying oxygen and nutrients, so handy.
I stain when spilled, do not be cruel,
For I am the red liquid known as a vital fuel."
hope,"['faith', 'nada']","I am everywhere. Some say I came from a box full of frights and horrors. You can make me. Sometimes I am just naturally there, But some people don't have me at all. People use me when there are times of hardships and crisis. What am I?","! Here's a riddle for the word ""hope"":  I may be invisible, but I can give you light When times are tough, I help you fight I linger in the darkest of nights And bring to life your wildest flights What am I? A feeling that helps you cope I am the essence of dreams, I am called hope.","Sure! Here's a riddle for the word ""hope"":

I may be invisible, but I can give you light
When times are tough, I help you fight
I linger in the darkest of nights
And bring to life your wildest flights
What am I? A feeling that helps you cope
I am the essence of dreams, I am called hope."
ego,[],"I do not listen to reason, but I hear every siren's song and will try to steer us towards the rocks if you let me take the wheel. Who am I?"," can be big or small,  Sometimes I stand tall,  But if I'm all you see,  You might miss the real me.  What am I?","I can be big or small, 
Sometimes I stand tall, 
But if I'm all you see, 
You might miss the real me. 
What am I?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']","I can be seen and can be touched,  But i can't be cought. . . .  What am I?"," am clear and crucial for life, I flow from the taps and in the rivers so rife. I can be still or wild, a force to be reckoned, In oceans and lakes, I am always like a beacon.","I am clear and crucial for life,
I flow from the taps and in the rivers so rife.
I can be still or wild, a force to be reckoned,
In oceans and lakes, I am always beckoned.
What am I?"
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']",You will see me every night sometimes i am scary and sometimes not What am I," am not alive, yet I am full of life, I can take you places without any strife. I am made of wishes, hopes, and whims, What am I? I'm like a shimmering ____.","I am not alive, yet I am full of life,
I can take you places without any strife.
I am made of wishes, hopes, and whims,
What am I? I'm like a shimmering ____."
cat,"['a bed', 'a chair', 'a feline', 'a table', 'a vet', 'animal', 'catch a mouse', 'climb up a tree', 'corner a mouse', 'drink water', 'feline']",I have eight to spare and am covered with hair. What am I?,"eline friend, small and nimble, Purring softly, making it like a toy. With whiskers fine and a tail that's neat, What am I? A furry treat.","Feline friend, small and nimble,
Purring softly, making it simple.
With whiskers fine and a tail that's neat,
What am I? A furry treat."
cloud,"['cotton', 'a crop', 'a fabric', 'a fiber from a plant', 'a natural fiber', 'a plant', 'cloth', 'a bedroom', 'a cloth', 'a fabric store', 'a kitchen', 'become wet', 'clean', 'cleaning something']",My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?," am fluffy and white, I can bring shade or rain,  I float in the sky, but I'm not a plane.  What am I?","I am fluffy and white, I can bring shade or rain, 
I float in the sky, but I'm not a plane. 
What am I?"
paparazzi,"['Paparazzi', 'Q156624', 'nikon choir']",I make a living following the wealthy and beautiful. What am I?,"'s always following the stars, With cameras and a fervent awe? They'll snap your pic without a pause, These pesky photographers: the... ?","What's always following the stars,
With cameras and a fervent awe?
They'll snap your pic without a pause,
These pesky photographers: the... ?"
dream,"['fall asleep', 'fantasy', 'fantasie', 'fantasize']","You can have me almost every night,  Sometimes I could be bad sometimes I can be nice,  Whether you were a child or an adult i'll be there.    What am I?"," am not the past, present, or future Yet I can take you to places unknown I bring visions and hopes to your mind but when you wake, I am often left behind What am I?","I am not the past, present, or future
Yet I can take you to places unknown
I bring visions and hopes to your mind
But when you wake, I am often left behind
What am I?"
wrestlemania,[],I am watched all over the world and the bigest event ever to be seen.  What am I?," am the grand event where giants clash, In a ring of sweat and muscle, there's no match. The pinnacle of power, the ultimate show, where heroes and villains put on a great, grand spectacle.","I am the grand event where giants clash,
In a ring of sweat and muscle, there's no match.
The pinnacle of power, the ultimate show,
Where heroes and villains put on a great, grand spectacle."
salad,"['a salad', 'dish', 'food', 'prepared', 'embattled', 'armed', 'battlemented', 'battlements', 'battlement']","I consist mostly of lettuce, along with a variety of other veggies. Ranch is one of my popular dressings. What am I?"," do you toss, mix, and enjoy as a side dish or main course, filled with various vegetables and often accompanied by dressing?","What do you toss, mix, and enjoy as a side dish or main course, filled with various vegetables and often accompanied by dressing?"
forgiveness,[],"It may only be given, not taken or bought what the sinner desires, but the saint does not what is it?"," am a gift freely given, yet can be hard to receive. I release anger and bitterness, and bring healing and peace.  What am I?","I am a gift freely given,
Yet can be hard to receive.
I release anger and bitterness,
And bring healing and peace. 
What am I?"
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","I come in handy, I'm usually small, Some people use me when they get a call. Use me for school, people forget about me without a care, Put me by your ear, or even in your hair. What am I?"," am a handy tool for writing, Slim and straight, always inviting. I have a point but no lead, With me, your thoughts are easily spread. What am I?","I am a handy tool for writing,
Slim and straight, always inviting.
I have a point but no lead,
With me, your thoughts are easily spread.
What am I?"
