starter,riddle,class
nose,"Wheresoever I may be, Every man must follow me; He must go where I may lead, Though it be to change his creed. Though I vary in my size, I am still beneath your eyes; and though you may go astray, I must ever lead the way. Every creature in the land, Has me close at his command, For I lead to things unseen, By my properties so keen. What am I?",what am i
hitch,"Use me to get from point A to point B, To bind yourself to another for eternity, When it all goes wrong it's because of me, Houston, we have a problem, technically. What am I?",what am i
cloud,My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?,what am i
sand,When I go to the beach.I am found. When I go in the water I am smooth.What am I?,what am i
otoscope,"I am found in a doctor's office. I hang on the wall, usually next to the blood pressure machine. I am black in color with a grey handle. The front is thin like a pen, while the back is akin to the front of a tube TV. I am an instrument, though I'm not of any use in a music band. I shine a light, magnify the surroundings, and am most commonly used in the ears, mouth, throat, eyes, and nose. What am I?",what am i
plant,I bring you power. I steal your secrets. I give you air. What am I?,what am i
word,"I can hurt, I can help, I'm kind, Sometimes I'm not, I can be said, You can hear me, Yet you can't see neither touch me. What am I?",what am i
minute,"I can be short, but I can be long. I will get ticked off if I hear an alarm. I start in 60 seconds and am gone in 60 seconds.  In New York it is all in the way some perceive me.  What am I?",what am i
giraffe,I have a long sticky tongue and four legs. What am I?,what am i
gold,I'm sometimes made into a coin. And sometimes into an ingot. When at the end of a rainbow. I am what is inside the pot. What am I?,what am i
bird,In the morning I sing on feathered wing. I soar through the air without a care. What am I?,what am i
heart,"I can flutter and take your breath away. I can take a beating, but do not bruise. If I stopped you would be sure to lose. Everyday I am with you. What am I?",what am i
hearse,"I am sometimes white but usually black. I take you there, but I never bring you back. What am I?",what am i
bullet,"I hide in a dark tunnel awaiting my time. I can only be released by pulling back. Once released, I may do unstoppable damage. What am I?",what am i
gone,"I am a riddle that the answer is gone. Get it right, you have until dawn. What is it?",what is it
balloon,"You breathe out, I breathe in. You let go, I breathe out. What am I?",what am i
ketchup,"Bloody paste and wine gone bad, Sugar and spice within are had, In packs it lives from day to day, In bottles, too, it strives to stay. What is it?",what is it
gravity,I am the thing that is used to make your weight. What am i?,what am i
Top hat,"I am most often seen in the service of gentlemen. Though I am no dog, I stand and sit on command. Though I am no musician, when I stand, people say I'm sharp, and when I sit, people call me flat. But no matter if I sit or stand, you'll probably see me 'round. What am I?",what am i
scissors,"Place your fingers in my eyes, and I will open my jaws to devour paper and cloth. What am I?",what am i
blood,This is found in your body. From your feet up to your head. It is a type of liquid. And it is the color red. What am I?,what am i
fever,"I always wait unit you're off guard or get older so you can become easier to attack. Once your body is weak, I strike inside you and try to kill you.   What am i",what am i
Mahjong,Look for pairs within my tiles. I am a game that brings fun and lots of smiles. What am I?,what am i
door,"I can hold you prisoner Or set you free I can swing with ease (Though not from a tree) I have many shapes I have many sizes Yet, til we shake hands I'll hide my surprises. What am I?",what am i
question,What am I?,what am i
movie,"To some people I bring laughs, For others tears. I can be about the future, Or about past years. I can be educational, Or just plain dumb. Come see me with friends, You are sure to have fun. What am I?",what am i
bat,I can't see yet I know your there. I'm not a cow but I'm leather. I'm a rare find but follow paths. I can fly but I'm not a bird. What am I?,what am i
wind,"I pass before the sun, yet make no shadow. What am I?",what am i
glass,"Get me to drink, Look through me to see. As I drop get a broom, Sweep, sweep, sweep. Sand my friend, floor my foe. What am I?",what am i
window,"I am used for light yet I am solid. Without me you would feel enclosed. I hate being touched, especially with a lot of force. I like to be in buildings. What am I?",what am i
ice,I cannot be burned in fire or drowned in water. What am I?,what am i
equator,"If it's a course due west or due east you chart.Then a crossing of me will not be a part. I span the globe, as schoolchildren are aware.Yet in the real world, you will not find me there. I've no start nor end, but infinite I'm not.A value of zero is all that I got. What am I?",what am i
snail,"I have a foot, yet no legs. I have a house yet no furniture. I choose to be on the move, but moving isn't so easy. What am I?",what am i
library,I am the building with number stories. Find me who am I?,who am i
Las Vegas,A large oasis in the desert. Come with cash and leave with none. What am I?,what am i
carpet,"I lie a lot, and have to be removed to move. Lots of people love me and love my lies. I am very soft and many things get lost in me.  What am I?",what am i
