,starter,riddle,class
2860,tea,"First I am dried, then I am wet; The longer I swim, the more taste you get.   What am I?",what am i
484,snowboard,"I'm long, thin, and curved at the edges.  I can also turn on my front and my back.  I will fly through the air with a rider on my back. What am I?",what am i
615,imagination,"With no wings, I fly. With no eyes, I see. With no arms, I climb. More frightening than any beast, stronger than any foe. I am cunning, ruthless, and tall; in the end, I rule all. What am I?",what am i
4472,Nothing.,Poor people have it. Rich people need it. If you eat it you die. What is it?,what is it
65,lap,"Every time you stand up, you lose this. What is it?",what is it
2896,hot water bottle,I am filled with hotness.    I don't mind how hot water is.     What am I?,what am i
2693,coffee,"It is something people wake to every day. Simple and easy, in a gradual way. You will crave and desire, That which water cannot provide. And which other drinks try to hide. It brings people together this is true, But it will make a dependent of you. What is it?",what is it
404,journey,"Whether the weather is hot or cold, I will take you wherever you need to go. The direction you take, will determine the place. There may be the most difficult roads, but they often lead to the most beautiful destinations. What am I?",what am i
427,bee,I can spell  yet i have no mouth  i can speak to animals  but cant speak to humans  i am feirce but small    What am I ?,what am i
1646,light bulb,"People pick me, and watch me until they give me power. Then they don't stare in my eyes. What am I?",what am i
3825,fence,"I run distances, often making many turns, yet i never move one foot.  What am I ?",what am i
2301,cat,"A motor running softly by your ear, A loving car moving gracefully, A teddy bear, ready for cuddles, A football player, ready for tackles, All this I am, and sometimes more.Who am I that you adore?",who am i
3116,people,i am peace and war i can kill and i can save what am i?,what am i
4486,I'm a Sponge.,"I have holes on the top and bottom. I have holes on my left and on my right. And I have holes in the middle, yet I still hold water. What am I?",what am i
4072,Railroad track.,Only two back bones and a thousand ribs.What am I?,what am i
3019,it blows  the wind,"All about, but cannot be seen, Can be captured, cannot be held, No throat, but can be heard.  What is it?",what is it
3331,qauter,"i have a head and a tail, but not a body.  i am not a snake, what am I?",what am i
4015,The letter A.,"I'm always in charge, I'm never in debt. I'm known as the first amongst all my kind. I'm found within cars, But never in buses. I'm not used in Mexico, I'm used in Palestine.What am I?",what am i
1707,clock,"Without fingers, I point. Without arms, I strike. Without feet, I run. What am I?",what am i
3252,dead millipede,One million feet in the air with it's back on the ground   What is it?,what is it
83,yogurt,"I can be smooth and creamy .Or I can be cool and dreamy. Whatever suits your taste. But one thing to remember I'm made with bacterial waste. Some like me in a cup, Some frozen on a stick. Some eat me with a spoon, And some just like to lick. Some like me with their breakfast, Some as a tasty treat. But as I said before I'm made with bacterial waste you eat. What am I?",what am i
1769,bike,"I cannot stand on my two feet;I need help from one who can.But in motion, they're superior. To the sturdy feet of man.What am I?",what am i
543,light,I appear everywhere except in the dark. What am I?,what am i
3468,paper,I am the killer of trees but people need me i can be blown away by a breeze and i have been here since ancient greece what am i?,what am i
2011,nail,"I'm a word of letters four; Myself, a fastener, and one thing more. This one thing more is clear to see; Because you notice when people bite me. Behead me and I shall be.What some use for seasoning. What am I?",what am i
4235,A cloud.,"I'm not an airplane, but I can fly through the sky. I'm not a river, but I'm full of water. What am I?",what am i
4131,Water.,"I am a being with many faces. My first is peaceful and calm, but can kill you. My second is strong enough to smash ships but still fears the sun. My third flies when it's born and runs when it's dead. My fourth goes away and never returns. What am I?",what am i
2653,elephant,I don't forget! What am I?,what am i
3640,fire,"I am always hungry, I must always be fed, The finger I touch, Will soon turn red.  What am I?",what am i
587,refrigerator,I have shelves but I'm not a bookcase. I have a door but I'm not a cupboard. I have a light but I'm not a lamp. I contain food but I'm not a grocery store. I'm cold inside but I'm not an igloo. What am I?,what am i
183,imagination,I make what science believes to be fantasy become reality in the blink of an eye. Doctors consider me a cause of insanity if to much of me in your life is applied. When most age I began to disappear for as most age they apply more logic and reason to their thoughts. My biggest fear is to not get used and to be forgot. What am I?,what am i
2808,ticket,"I am one small little piece of paper, yet sometimes hold lots of value.  I am all you need to get in to big events, but will cost you.  I am an important part of travel.  And if lost, you're not coming.  What am I?",what am i
2575,car,Controlled by your hands and feet. It would be nothing without a street. What is it?,what is it
264,leaf,"Step on me while I live, and I shall make no sound. Step on me when dead, I'll crack and groan. What am I?",what am i
575,counter,"If bought over me, okay, but under? You'll pay. I'll keep your score and keep track for fair play. What ever you do, I'm the returning reply. So say with me, one, two, three, ""What am I?""",what am i
500,checkered flag,My first describes a past blemished by disgrace.My second differs in a cross-border place.My whole is displayed for one who wins the race. What am I?,what am i
80,bat,I am partly blind but can still see. I have legs but only use them for sleeping. What am I?,what am i
