Word,GoldRiddle,GenRiddle
Blood,"Everyone has me, Everyone needs me; When some people see me, They end up quite queasy. What am I?",
hope,"I am everywhere. Some say I came from a box full of frights and horrors. You can make me. Sometimes I am just naturally there, But some people don't have me at all. People use me when there are times of hardships and crisis. What am I?",What is as spiritual as spirit_guide and as supernatural as demon and as external as modem and as mechanical as Optimus_Prime  ?
ego,"I do not listen to reason, but I hear every siren's song and will try to steer us towards the rocks if you let me take the wheel. Who am I?",What is as personal as values and as male as aggressiveness and as moral as envy and as sacred as puma  ?
water,"I can be seen and can be touched,  But i can't be cought. . . .  What am I?",What is as liquid as stew and as dry as foot and as damp as soil and as unusual as drought  ?
dream,You will see me every night sometimes i am scary and sometimes not What am I,What is as private as college and as global as unicef and as geometric as area and as sensory as Blanche_DuBois  ?
cat,I have eight to spare and am covered with hair. What am I?,
cloud,My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?,What is as dynamic as angular_velocity and as relevant as receipts and as complex as mammal and as harmful as parasite  ?
paparazzi,I make a living following the wealthy and beautiful. What am I?,
dream,"You can have me almost every night,  Sometimes I could be bad sometimes I can be nice,  Whether you were a child or an adult i'll be there.    What am I?",
wrestlemania,I am watched all over the world and the bigest event ever to be seen.  What am I?,
salad,"I consist mostly of lettuce, along with a variety of other veggies. Ranch is one of my popular dressings. What am I?",
forgiveness,"It may only be given, not taken or bought what the sinner desires, but the saint does not what is it?",What is as inner as kindness and as desirable as reliability and as internal as gear and as metal as nail  ?
pencil,"I come in handy, I'm usually small, Some people use me when they get a call. Use me for school, people forget about me without a care, Put me by your ear, or even in your hair. What am I?",What is as dangerous as heroin and as analgesic as aspirin and as natural as cotton and as dietary as carbohydrate  ?
echo,"Lives without a body, hears without ears, speaks without a mouth, to which the air alone gives birth. What is it?",
sheet music,My first will cover you all night long.My second might be your favourite song.My whole ensures the notes aren't made wrong. What am I?,
reflection,"If you see me, I see you. If you move, then I'll move too. When you touch me, I touch you. I do everything you do except for one thing. No matter how hard I try, I can never speak. What am I?",
inkpen,"I am the tool, for inspiring many.  Buy me in the store, for not much more than a penny.  Don't overuse me, or my usefulness will go, what am I? Do you know?",
book,Turn us on our backs and open up our stomachs You will be the wisest.   What am I?,
lock,"A dagger thrust at my own heart,  Dictates the way I'm swayed.   Left I stand, and right I yield,  To the twisting of the blade.   What am I?",What is as desirable as tree and as diverse as fungi and as higher as starfish and as smaller as rabbit  ?
volcano,My thunder comes before my lightning. My lightning comes before my rain. And my rain dries all the ground it touches. What am I?,
Promise,"The cost of making only the maker knows, Valueless if bought, but sometimes traded. A poor man may give one as easily as a king. When one is broken pain and deceit are assured. What is it?",
parrot,It sits on a pirates shoulder. And doesnt ever fly away. The funniest thing about it. Is that it repeats what you say. What is it?,What is as flying as dust and as larger as lizard and as large as auditorium and as moist as throat  ?
yarn,"I'm found in socks, scarves and mittens.  I'm found in the paws of playful kittens.  What am I?",
match,"Take one out and scratch my head, I am now black but once was red. What am I?",What is as current as wages and as administrative as contract and as internal as trait and as mental as anxiety  ?
tomorrow,"What is it that no man ever yet did see, which never was, but always is to be?",What is as musical as Eddie_Van_Halen and as expressive as dancing and as static as map and as original as sculpture  ?
sieve,"A pot-hole filled valley, where rains often fall; A land through which no river shall crawl. What am I?",
recycling bin,"I have three arrows, but I don't have a bow. I am often blue, but always green. You give to me knowingly, and I return your gifts in secret. What am I?",
air,I can bend steel I can not be seen I am everywhere Between you and me. What am I?,
mind,"I'm a place where you keep a lot of things; and, in the process of forming a decision, you refer to me.  What am I?",
battery,"I can help you have some fun, Sometimes I get stronger from the sun. If you never give me a break, You will find I may never again wake. I am optimistic on one side, I can be short, fat, tall, or wide.  Rectangle, cylinder are just a couple of my shapes, And maybe I can even help you make some videotapes.  Sometimes you have to wait long for me to get ready, Just hold on for a few hours and be steady. I can help you get around to the market or mall, and even help you make a call. What am I?",
wig,"I am perfect with a head, perfect without a head; perfect with a tail, perfect without a tail; perfect with either, neither, or both what am i ??",What is as stock as utility and as productive as technological_information and as key as power and as vital as generator  ?
weighty,I am seven letter word. I am very heavy. Take away two letters from me and you will get 8. Take away one letter and you will get 80. Who am I?,
toothpick,"Though I'm not exactly designed to.Still I'm sometimes used. To make numbers, shapes, and letters. Frequently I come in fancy flowery flourish, Used by men, women, citizens, and tourists. I do bend.I do break.Yucky stuff I'm willing to take. What am I?",What is as foreign as dirt and as airborne as dust and as biological as reproduction and as diverse as environment  ?
mouse,I am hated by people.  People are scared of me.  I am hated by worms and I always have a worm following me.  But the worm is never eaten by birds and other predators.  I sometimes live in a house but I am seldom seen.  I am alive.  I can breathe.  And I can eat    What am I?,What is as higher as mammal and as unicellular as algae and as parasitic as mosquito and as harmful as tick  ?
ice cream,"I scream, I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?",
snowman,"I am a man,  I am not Male,   Nor Female.   I have eyes,  But cannot see,  I have a mouth,  But cannot talk.   I like cold Weather.    What am I?",
news,"Sometimes I`m good, sometimes I`m bad Sometimes you wait for me, sometimes you fear me Sometimes you see me, sometimes you hear me.  Sometimes you make me, sometimes you even spread me What am I?",
spider,"A woman wraped from head to toe in black, kneeling beside here dead husband.  What am I ?",
x-ray,"You can't see me, but I can see you; To be more specific, I see through. What am I?",
well,"Round as an apple, deep as a cup, and all the kings' horses can't fill it up. What is it?",
clone,"I was not born, but I am here. I have no name, but I am given many. I was made by science and life. What am I?",
shemale,"I am a girl, but I am a boy as well.  What am I?",
owl,"My first is in ocean but never in sea, my second's in wasp but never in bee.  My third is in glider and also in flight, my whole is a creature that comes out at night.   What am I?",
tomorrow,"I am always will be coming, but I will never come. What Am I?",
toenail,"I can get hurt easly, if i do get hit i can fall off.  It will look gross, some people bite me but not me, what am i????",What is as animal as grain and as fibrous as apple and as animal as goat_legs and as complex as rheumatoid_arthritis  ?
February,We are a family of 12 members. I am the second. I am also the youngest in our family. Who am I?,
Olympic Games,"I am the gathering of the world's best, Challenging them all to the ultimate test. I bring glory and fame to the winners alone; Every competitor tries to set the tone. My flame is cherished across the land, Passing along from hand to hand. Five rings is the world that connects me to you, From any religion, race, or background out of the blue. What am I?",
infinity,"What has no beginning.And has no end.Goes on forever.Has only one path, never any bend.No one can travel its whole length.In the space of one world.Except times strength.It never varies from its one gait.And here's one hint more: It takes refuge in a figure eight. What is it?",What is as mathematical as topology and as major as buddhism and as japanese as painting and as static as magazine  ?
clock,"I have two hands, but I can not scratch myself. What am I?",What is as decorative as sculpture and as popular as television and as artistic as dance and as wooden as Troy_McClure  ?
penguin,I'm usually black and white but I'm not a newspaper. I have wings but I'm not an airplane. I lay eggs but I'm not a chicken. I eat fish but I'm not a whale. I appeared in the movie Madagascar but I'm not a zebra. Who am I?,What is as flightless as large_weevil and as moving as truck and as smaller as coyote and as natural as raccoon  ?
slenderman,"I am watching you, but you're not watching me I kill little children in their rest, but they don't notice it My face is nothing, but you can see it Who am I?",
earth,I am a mother from a family of eight. Spins around all day despite my weight. Had a ninth sibling before finding out its fake. What am I?,What is as inorganic as silica and as particulate as coffee and as poisonous as pesticide and as organic as sugar  ?
chair,"I have four legs, a back, but no head. What am I?",What is as domestic as horse and as ungulate as moose and as large as deer and as agile as Red_Sonja  ?
nut,"A little house full of meat, no door to go in and eat.What am I?",
wine,"Round I start, yet no shape have I.   Allow me to breathe, and my life will die.   The older I grow, the more sought after I become.   You will feel much better when I am done.   What am I?",What is as intoxicating as wine and as pure as solid and as tangible as note and as symbolic as drawing  ?
comet,"I have 3 tails and you could fit 60 erths inside me,who am I?",What is as smaller as skunk and as smaller as coyote and as larger as fish and as animal as rotifer  ?
tissue,A thing to help  A thing to use  When it is cold  I am absorbent  I help all  When things are running i am the one to call  What am I,
paint,You often use it with a brush. But not the kind used on your hair. Add it nicely to some canvas. So that people will stop and stare. What am I?,
woman,"I can alter the actions of a king, and leave puzzled the greatest of philosophers.   What am I?",
smoke,What is it that makes tears without sorrow and takes its journey to heaven? what am i ??,What is as dynamic as velocity and as large as goose and as dead as cat and as big as cheetah  ?
police car,I am black and white and full of fuzz. What am I?,
fingers,"I have four of these,   With matching extremities.    They can do many things,   And hardly ever bring me pain.    Unless I stick them with a pin,   Or burn them sometimes when. . .    What is it that I can wiggle at will?   And use in other means still?",
fetch,I am a activity dogs are very good at when a ball is thrown. What am I?,
butterfly,I am a type of insect. But one that is beautiful. I look just like a large moth. But one that is colorful. What am I?,
bottle cap,"My first, a place where liquid stays.My second shields your eyes from rays.A thread leads my whole's spiral ways. What am I?",
splinter,I went into the woods and got it. I sat down to seek it. I brought it home with me because I couldn't find it.What is it?,What is as dirty as washing_dish and as routine as clinical_testing and as professional as education and as traditional as guitar  ?
counterfeit,"Whoever makes it, tells it not; whoever takes it, knows it not; and whoever knows it, wants it not. What is it?",
phoenix,"I'm seven times seventy, Plus a decade more. This has all happened before. Red and gold, I am no liar. My nursery will be made.From my funeral pyre. Who am I?",
Peanut,"My family is known to be crazy;I'm good when I'm alone and when spread I am amazing;It's a matter of taste;I'm good for your health, bad for your waist.What am I?",What is as important as stiffness and as biological as protein and as polymeric as polysaccharide and as natural as fox  ?
watch,"I went to the city, I stopped there, I never went there, and I came back again. What is it?",
nose,"No matter how smart you are, there is one thing you will always overlook. What is it?",
shower cap,"My first may accompany a sullen summer sky.My second means ""the sky's the limit"" does not apply.My whole keeps your uppermost features perfectly dry. What am I?",
war,"A harvest sown and reaped on the same day In an unplowed field, Which increases without growing, Remains whole though it is eaten Within and without, Is useless and yet The staple of nations. What is it?",What is as unusual as high_fever and as stressful as hospitalization and as pathologic as angiogenesis and as physiological as blood  ?
snowman,"I am a cold man without a soul. If there is warmth in me, it slowly will kill me.  What am I?",
clock,"I can be a square, I can be a circle. I can be on any kind of decoration piece you want. I can sound like a wind chime or a bird.  I can glow in the dark.  I can be carried around in your pocket or sit on your dashboard. I can talk or not talk, use my hands or not use my hands. Either way I get my message across. What am I?",What is as new as dishwasher and as electric as motor and as new as windshield and as spare as nose  ?
bell,"I can speak with my hard metal tongue. But I cannot breathe, for I have no lung. What am I?",
dog,"Forward I am an animal, but backward I am one who no man can ever see. What am I?",What is as wild as chickweed and as aromatic as benzene and as solid as dust and as solid as wall  ?
soda,"Part carbon, part water, I am poison to the fishes. Many have falsely claimed my name, for I am the pause that refreshes. What am I?",
Apple,"I__ red, but I can be green. At times, I might even be yellow. What am I?",
fart,"Sometimes I am born in silence, Other times, no. I am unseen, But I make my presence known. In time, I fade without a trace. I harm no one, but I am unpopular with all. What am I?",
rope,I am a piece of equipment that has hundreds of uses; I can even be used to save a life! I am not a medicine and I am non-electric. I come in all shapes and sizes. It doesn't require much specialist training to be used. What am I?,
gravity,I am what bring things together. Without me everything you see would be a total mass or debris everywhere. What am I?,
Gold,"I drive men mad  For love of me,  Easily beaten,  Never free.What Am I?",What is as real as diamond and as synthetic as polyamide and as manufactured as clothing and as religious as hinduism  ?
